absolute_spectral_error,absolute_tolerance_for_near_zero_targets,component,configuration_sha256,degree,evidence_label,polynomial,relative_spectral_error,shape,spectrum,status,tolerance
1.2114813128689186e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4130121742165553e-13,4x3,moderately_conditioned,pass,1e-08
6.029950162323835e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,8.120223491418763e-14,4x3,moderately_conditioned,pass,1e-08
2.9508521064417772e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,5.901869730532774e-15,4x3,moderately_conditioned,pass,1e-08
2.2473275627016853e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,1.1555965347331207e-13,4x3,moderately_conditioned,pass,1e-08
1.3070084106074056e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.375798326955164e-13,4x3,nearly_rank_deficient,pass,1e-08
1.2027280607404427e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4028028117689952e-13,4x3,nearly_rank_deficient,pass,1e-08
6.461223532439631e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.915268611480141e-13,4x3,nearly_rank_deficient,pass,1e-08
2.823968425120919e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.1180651950964695e-14,4x3,nearly_rank_deficient,pass,1e-08
4.131560259892569e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,5.184586166453108e-14,4x3,nearly_rank_deficient,pass,1e-08
7.569236180307345e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3762247600558807e-13,4x3,repeated_singular_values,pass,1e-08
3.4057473948306976e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,2.0470307406946332e-13,4x3,repeated_singular_values,pass,1e-08
5.4318212728216866e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.620823535299636e-14,4x3,repeated_singular_values,pass,1e-08
1.3617144957283063e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,2.201224859403644e-14,4x3,repeated_singular_values,pass,1e-08
2.479758936497003e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,5.842544200726514e-14,4x3,repeated_singular_values,pass,1e-08
1.1698636395001276e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.376310164117797e-13,4x3,zero_singular_values,pass,1e-08
9.14059259928963e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4883928515024844e-13,4x3,zero_singular_values,pass,1e-08
3.2834936183391833e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.739003927032023e-15,4x3,zero_singular_values,pass,1e-08
3.1330006721399182e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,8.829593770940918e-15,4x3,zero_singular_values,pass,1e-08
5.813707309914057e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,6.220637396200538e-14,4x3,zero_singular_values,pass,1e-08
1.3069512752667405e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3757381844913057e-13,8x4,well_conditioned,pass,1e-08
1.209498396378759e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4106993980215882e-13,8x4,well_conditioned,pass,1e-08
6.5737582813979e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.173250197386875e-13,8x4,well_conditioned,pass,1e-08
2.9585926319790344e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.0701040511790608e-14,8x4,well_conditioned,pass,1e-08
4.783213002837951e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,9.22563761261141e-14,8x4,well_conditioned,pass,1e-08
1.3070591129820718e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3758516978758654e-13,8x4,moderately_conditioned,pass,1e-08
1.2067004291036693e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4074359867078808e-13,8x4,moderately_conditioned,pass,1e-08
6.232848079719171e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,7.108055982759027e-14,8x4,moderately_conditioned,pass,1e-08
1.06695520880055e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,2.1339702646932655e-14,8x4,moderately_conditioned,pass,1e-08
1.335574643373145e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,6.867647847045527e-14,8x4,moderately_conditioned,pass,1e-08
1.3068936240247953e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.375677498973469e-13,8x4,nearly_rank_deficient,pass,1e-08
