bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
211,12,-0.008461049547044103,-0.06836337540869931,structural_group,case_stratified,8675310
212,12,0.0,-0.00614470347005501,structural_group,case_stratified,8675310
213,12,-0.005658969592345277,-0.06889092968034267,structural_group,case_stratified,8675310
214,12,-0.021288940384876134,-0.13039483772660843,structural_group,case_stratified,8675310
215,12,-0.010676065736833856,-0.17304290183299428,structural_group,case_stratified,8675310
216,12,-0.036226347372473364,-0.12825730459990103,structural_group,case_stratified,8675310
217,12,-0.021288940384876134,-0.17368350755472708,structural_group,case_stratified,8675310
218,12,-0.00032093672392834866,-0.013619874485573146,structural_group,case_stratified,8675310
219,12,0.0,-0.0062042654661564195,structural_group,case_stratified,8675310
220,12,-0.008461049547044103,-0.015149541037315174,structural_group,case_stratified,8675310
221,12,0.0,-0.006805529228847567,structural_group,case_stratified,8675310
222,12,0.0,-0.06747607911469597,structural_group,case_stratified,8675310
223,12,-0.008461049547044103,-0.0711516511256653,structural_group,case_stratified,8675310
224,12,0.0,-0.006555851491117286,structural_group,case_stratified,8675310
225,12,-0.036226347372473364,-0.12862647396486598,structural_group,case_stratified,8675310
226,12,-0.008461049547044103,-0.019010769483894786,structural_group,case_stratified,8675310
227,12,-0.0006418734478566973,-0.06461964170887136,structural_group,case_stratified,8675310
228,12,0.0,-0.055019396585912615,structural_group,case_stratified,8675310
229,12,-0.008461049547044103,-0.07302276683384241,structural_group,case_stratified,8675310
230,12,-0.00032093672392834866,-0.05802946719695002,structural_group,case_stratified,8675310
231,12,-0.006246033357254349,-0.06732694010779659,structural_group,case_stratified,8675310
232,12,-0.0006418734478566973,-0.06461964170887136,structural_group,case_stratified,8675310
233,12,-0.0034439534025555232,-0.013786631724771454,structural_group,case_stratified,8675310
234,12,-0.021288940384876134,-0.17559440751109467,structural_group,case_stratified,8675310
235,12,-0.010676065736833856,-0.07179848068942254,structural_group,case_stratified,8675310
236,12,-0.00032093672392834866,-0.011953581646190306,structural_group,case_stratified,8675310
237,12,-0.010676065736833856,-0.06972711237109078,structural_group,case_stratified,8675310
238,12,-0.021288940384876134,-0.07262236699603286,structural_group,case_stratified,8675310
239,12,0.0,-0.014741857363156271,structural_group,case_stratified,8675310
240,12,-0.008461049547044103,-0.07007869839605164,structural_group,case_stratified,8675310
241,12,-0.00032093672392834866,-0.06539158676237869,structural_group,case_stratified,8675310
242,12,-0.008461049547044103,-0.0701321878500397,structural_group,case_stratified,8675310
243,12,-0.0034439534025555232,-0.0698188837897956,structural_group,case_stratified,8675310
244,12,-0.0034439534025555232,-0.06768090198349026,structural_group,case_stratified,8675310
245,12,-0.01907392419508638,-0.12095105033919323,structural_group,case_stratified,8675310
246,12,0.0,-0.012441793958791985,structural_group,case_stratified,8675310
247,12,-0.00032093672392834866,-0.011953581646190306,structural_group,case_stratified,8675310
248,12,0.0,-0.009876140785745188,structural_group,case_stratified,8675310
249,12,-0.010676065736833856,-0.07500473958420216,structural_group,case_stratified,8675310
250,12,-0.00032093672392834866,-0.012442242638389943,structural_group,case_stratified,8675310
251,12,0.0,-0.010827139462588604,structural_group,case_stratified,8675310
252,12,-0.021288940384876134,-0.0712328607881832,structural_group,case_stratified,8675310
253,12,-0.005658969592345277,-0.11989285641925292,structural_group,case_stratified,8675310
254,12,-0.016271844240387554,-0.0713804975116089,structural_group,case_stratified,8675310
255,12,-0.03190181503291841,-0.07487516478843352,structural_group,case_stratified,8675310
256,12,-0.00032093672392834866,-0.061268121941398856,structural_group,case_stratified,8675310
257,12,-0.03190181503291841,-0.1823917807425431,structural_group,case_stratified,8675310
258,12,-0.005658969592345277,-0.07024154260874861,structural_group,case_stratified,8675310
259,12,-0.008461049547044103,-0.07249758841293187,structural_group,case_stratified,8675310
260,12,-0.0006418734478566973,-0.11211253734088981,structural_group,case_stratified,8675310
261,12,-0.008461049547044103,-0.018592569970960347,structural_group,case_stratified,8675310
262,12,-0.021288940384876134,-0.07649351597601745,structural_group,case_stratified,8675310
263,12,-0.008461049547044103,-0.06345024191941352,structural_group,case_stratified,8675310
