instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,nondominated
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_refined_mean_k32_s4_0c07127b40ab,sensitivity_refined_mean,32,4,27,4,0.0566768169910019,8.0073777554861e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30102_block_8x8,ieee30,ieee30_eval_seed_30102_block_8x8__sensitivity_refined_mean_k32_s8_f78727252c82,sensitivity_refined_mean,32,8,32,8,0.0559424958374213,6.619545632466492e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__random_objective_feasible_k8_s6_r28_7a2c7ce8145c,random_objective_feasible,8,6,8,1,0.8134663118915371,0.0008406914348067,28.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__random_objective_feasible_k12_s4_r21_8cfbff529b1c,random_objective_feasible,12,4,12,3,0.1684693924537443,0.0002408589499063,21.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__sensitivity_refined_mean_k16_s3_53fc016cd6f6,sensitivity_refined_mean,16,3,16,3,0.1331733499580163,0.0001451080074242,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__random_objective_feasible_k24_s3_r29_b6cead0ea07f,random_objective_feasible,24,3,21,3,0.1129353953361987,0.0001816072512023,29.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__sensitivity_initial_worst_case_k24_s8_9464c29192e0,sensitivity_initial_worst_case,24,8,24,7,0.087498868333831,0.0001422120250024,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30103_block_8x8,ieee30,ieee30_eval_seed_30103_block_8x8__sensitivity_refined_mean_k32_s8_2b1c70e73214,sensitivity_refined_mean,32,8,32,8,0.0586289983586322,6.14175733438556e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__random_objective_feasible_k8_s8_r04_8dbea62c57d5,random_objective_feasible,8,8,8,1,1.0414565300024088,0.0007358118376274,4.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_refined_mean_k12_s4_0ca1d736f65e,sensitivity_refined_mean,12,4,12,3,0.3128760316108377,0.0002376788481021,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_refined_mean_k12_s6_0ca1d736f65e,sensitivity_refined_mean,12,6,12,3,0.3128760316108377,0.0002376788481021,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_refined_mean_k12_s8_0ca1d736f65e,sensitivity_refined_mean,12,8,12,3,0.3128760316108377,0.0002376788481021,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__random_objective_feasible_k16_s8_r15_3faf2aa8f052,random_objective_feasible,16,8,16,5,0.3101401231677385,0.0002546567833602,15.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__random_objective_feasible_k32_s3_r14_b0280203c1de,random_objective_feasible,32,3,22,3,0.2009401695411699,0.0001802100758517,14.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_refined_mean_k24_s6_d3aba5a2c188,sensitivity_refined_mean,24,6,24,6,0.1498466876690017,0.0001358210681461,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_initial_mean_k32_s8_399498e06b6b,sensitivity_initial_mean,32,8,32,8,0.0400738620083655,3.266098650381603e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30104_block_8x8,ieee30,ieee30_eval_seed_30104_block_8x8__sensitivity_initial_worst_case_k32_s8_399498e06b6b,sensitivity_initial_worst_case,32,8,32,8,0.0400738620083655,3.266098650381603e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30105_block_8x8,ieee30,ieee30_eval_seed_30105_block_8x8__random_objective_feasible_k8_s4_r10_7a2c7ce8145c,random_objective_feasible,8,4,8,1,0.8222089109466063,0.0009473933918091,10.0,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30105_block_8x8,ieee30,ieee30_eval_seed_30105_block_8x8__sensitivity_initial_mean_k12_s4_395f73a1d0f4,sensitivity_initial_mean,12,4,12,4,0.111990300707807,0.0002044147641671,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30105_block_8x8,ieee30,ieee30_eval_seed_30105_block_8x8__sensitivity_initial_mean_k12_s6_395f73a1d0f4,sensitivity_initial_mean,12,6,12,4,0.111990300707807,0.0002044147641671,,median_heldout_normalized_error_absolute_not_signed,True
ieee30_eval_seed_30105_block_8x8,ieee30,ieee30_eval_seed_30105_block_8x8__sensitivity_initial_mean_k12_s8_395f73a1d0f4,sensitivity_initial_mean,12,8,12,4,0.111990300707807,0.0002044147641671,,median_heldout_normalized_error_absolute_not_signed,True
