instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,signal_unitary_gate_count,signal_unitary_depth,controlled_rotations,resource_record_type,resource_status,missing_resource_cost_is_zero,nondominated
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k16_s2_a54f4ba6ec58,sensitivity_initial_mean,16,2,15,2,0.2803119433667873,0.0003754181511843,,median_heldout_normalized_error_absolute_not_signed,1164.0,711.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k24_s2_a54f4ba6ec58,sensitivity_initial_mean,24,2,15,2,0.2803119433667873,0.0003754181511843,,median_heldout_normalized_error_absolute_not_signed,1164.0,711.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_mean_k32_s2_a54f4ba6ec58,sensitivity_initial_mean,32,2,15,2,0.2803119433667873,0.0003754181511843,,median_heldout_normalized_error_absolute_not_signed,1164.0,711.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s2_f883f618abf7,sensitivity_refined_mean,16,2,15,2,0.176503042430637,0.0002418828509069,,median_heldout_normalized_error_absolute_not_signed,1167.0,713.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k24_s2_f883f618abf7,sensitivity_refined_mean,24,2,15,2,0.176503042430637,0.0002418828509069,,median_heldout_normalized_error_absolute_not_signed,1167.0,713.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k32_s2_f883f618abf7,sensitivity_refined_mean,32,2,15,2,0.176503042430637,0.0002418828509069,,median_heldout_normalized_error_absolute_not_signed,1167.0,713.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s3_4d0f9f900e71,balanced_magnitude,16,3,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s4_4d0f9f900e71,balanced_magnitude,16,4,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s6_4d0f9f900e71,balanced_magnitude,16,6,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k16_s8_4d0f9f900e71,balanced_magnitude,16,8,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k16_s3_4d0f9f900e71,leverage_weighted,16,3,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k16_s4_4d0f9f900e71,leverage_weighted,16,4,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k16_s6_4d0f9f900e71,leverage_weighted,16,6,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k16_s8_4d0f9f900e71,leverage_weighted,16,8,16,3,0.3869994737602769,0.0004964012746847,,median_heldout_normalized_error_absolute_not_signed,2780.0,1790.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s3_0c407c6edf44,sensitivity_refined_mean,12,3,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,2977.0,1928.0,24.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s4_0c407c6edf44,sensitivity_refined_mean,12,4,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,2977.0,1928.0,24.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s6_0c407c6edf44,sensitivity_refined_mean,12,6,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,2977.0,1928.0,24.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k12_s8_0c407c6edf44,sensitivity_refined_mean,12,8,12,3,0.1183901718326698,0.0002234792158541,,median_heldout_normalized_error_absolute_not_signed,2977.0,1928.0,24.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k12_s3_ba6c6a34d2ef,balanced_magnitude,12,3,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k12_s4_ba6c6a34d2ef,balanced_magnitude,12,4,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k12_s6_ba6c6a34d2ef,balanced_magnitude,12,6,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
