bootstrap_sample,instance_count,median_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_seed
1952,15,-0.2673352773955874,instance,8675309
1953,15,-0.2659696180787886,instance,8675309
1954,15,-0.1515999042352149,instance,8675309
1955,15,-0.2659696180787886,instance,8675309
1956,15,-0.17884318399519528,instance,8675309
1957,15,-0.2673352773955874,instance,8675309
1958,15,-0.2859756630598773,instance,8675309
1959,15,-0.2659696180787886,instance,8675309
1960,15,-0.2659696180787886,instance,8675309
1961,15,-0.2673352773955874,instance,8675309
1962,15,-0.2859756630598773,instance,8675309
1963,15,-0.17884318399519528,instance,8675309
1964,15,-0.2673352773955874,instance,8675309
1965,15,-0.2659696180787886,instance,8675309
1966,15,-0.22946696899122998,instance,8675309
1967,15,-0.2859756630598773,instance,8675309
1968,15,-0.2859756630598773,instance,8675309
1969,15,-0.2673352773955874,instance,8675309
1970,15,-0.17884318399519528,instance,8675309
1971,15,-0.22946696899122998,instance,8675309
1972,15,-0.2859756630598773,instance,8675309
1973,15,-0.2859756630598773,instance,8675309
1974,15,-0.2659696180787886,instance,8675309
1975,15,-0.2659696180787886,instance,8675309
1976,15,-0.3156277947922177,instance,8675309
1977,15,-0.2659696180787886,instance,8675309
1978,15,-0.2859756630598773,instance,8675309
1979,15,-0.2673352773955874,instance,8675309
1980,15,-0.2859756630598773,instance,8675309
1981,15,-0.2977248373379707,instance,8675309
1982,15,-0.2859756630598773,instance,8675309
1983,15,-0.2859756630598773,instance,8675309
1984,15,-0.2673352773955874,instance,8675309
1985,15,-0.22946696899122998,instance,8675309
1986,15,-0.22946696899122998,instance,8675309
1987,15,-0.2859756630598773,instance,8675309
1988,15,-0.22946696899122998,instance,8675309
1989,15,-0.2859756630598773,instance,8675309
1990,15,-0.2859756630598773,instance,8675309
1991,15,-0.22946696899122998,instance,8675309
1992,15,-0.22946696899122998,instance,8675309
1993,15,-0.22946696899122998,instance,8675309
1994,15,-0.17884318399519528,instance,8675309
1995,15,-0.2673352773955874,instance,8675309
1996,15,-0.17884318399519528,instance,8675309
1997,15,-0.2673352773955874,instance,8675309
1998,15,-0.22946696899122998,instance,8675309
1999,15,-0.22946696899122998,instance,8675309
2000,15,-0.2673352773955874,instance,8675309
2001,15,-0.2659696180787886,instance,8675309
2002,15,-0.22946696899122998,instance,8675309
2003,15,-0.17884318399519528,instance,8675309
2004,15,-0.2673352773955874,instance,8675309
2005,15,-0.22946696899122998,instance,8675309
2006,15,-0.2673352773955874,instance,8675309
2007,15,-0.17884318399519528,instance,8675309
2008,15,-0.2859756630598773,instance,8675309
2009,15,-0.2659696180787886,instance,8675309
2010,15,-0.2673352773955874,instance,8675309
2011,15,-0.2659696180787886,instance,8675309
2012,15,-0.2673352773955874,instance,8675309
2013,15,-0.22946696899122998,instance,8675309
2014,15,-0.22946696899122998,instance,8675309
2015,15,-0.2659696180787886,instance,8675309
2016,15,-0.17884318399519528,instance,8675309
2017,15,-0.2659696180787886,instance,8675309
2018,15,-0.2859756630598773,instance,8675309
2019,15,-0.22946696899122998,instance,8675309
2020,15,-0.2659696180787886,instance,8675309
2021,15,-0.2859756630598773,instance,8675309
2022,15,-0.127918925273331,instance,8675309
2023,15,-0.1515999042352149,instance,8675309
2024,15,-0.17884318399519528,instance,8675309
2025,15,-0.2977248373379707,instance,8675309
2026,15,-0.2977248373379707,instance,8675309
2027,15,-0.17884318399519528,instance,8675309
2028,15,-0.2977248373379707,instance,8675309
2029,15,-0.2673352773955874,instance,8675309
2030,15,-0.2859756630598773,instance,8675309
2031,15,-0.2673352773955874,instance,8675309
2032,15,-0.2673352773955874,instance,8675309
2033,15,-0.22946696899122998,instance,8675309
2034,15,-0.2673352773955874,instance,8675309
