case_name,block_size,selection_rule,alpha,full_selected_functional,block_selected_functional,relative_discrepancy_vs_full,selected_coordinate_vector_relative_discrepancy,out_of_block_coupling_fraction,functional_column_leakage,kappa_effective,magnitude_class
ieee30,16,largest_row_col_norms,1476766.7255334577,0.0034715004856451666,0.0004237029220746903,0.8779481887366216,0.2744891378801686,0.1206170930919212,0.971539288396305,87.89749014434929,above_0.5
ieee30,16,column_leverage,592242.6093338516,-0.004640583786152635,-0.004996315958397403,0.07665677178510649,0.9671230152925319,0.4716472405612148,0.48027101163567537,639.6403648030979,0.05_to_0.5
ieee30,16,seeded_random,97309.65912421884,0.005083085168590288,0.0014593253573011158,0.7129055860958875,1.193140635202074,0.8677459969178866,0.9984552485387953,41.260271320152675,above_0.5
ieee30,32,largest_row_col_norms,1498576.3147394976,0.0034537445180446652,0.002708261481164358,0.21584776551519855,0.39457008962675355,0.07504486761624155,0.4669606682971574,223.77231667354107,0.05_to_0.5
ieee30,32,column_leverage,1111286.085825455,0.003801531647094794,0.002775952525293017,0.2697805034940443,0.7277997024087759,0.3116692887388455,0.49337568165270923,99634.55210865539,0.05_to_0.5
ieee30,32,seeded_random,709833.3922029912,-0.004562031352086237,0.000794350742028285,1.1741221575921492,0.6433262816005587,0.5746098137757965,0.99517867364055,4211.242416061078,above_0.5
ieee57,4,largest_row_col_norms,1983103.6842818416,0.009822899777821196,0.009539961484481892,0.028803947891043468,0.08146131965527068,0.1686658007334007,0.27935457445215656,8.512252975829425,below_0.05
ieee57,4,seeded_random,17002.59056496718,0.0036251023009347093,0.0,1.0,2.4332323702684615,0.9728370850642379,1.0,1.2296276512892126,above_0.5
ieee57,8,largest_row_col_norms,2585238.1770376503,0.009550570422383275,0.008770839492026736,0.08164234133378215,0.1968523165422232,0.16258063975469877,0.09541715015308766,294.18858400215385,0.05_to_0.5
ieee57,8,column_leverage,44798.62799950105,0.005001809832233607,0.0,1.0,5.128616238870945,0.9591021102500998,1.0,4.073030531589437,above_0.5
ieee57,8,seeded_random,1565.0705104477354,0.01116293413986388,0.0,1.0,1.3901046614923265,0.9990940620795721,1.0,1.0,above_0.5
