estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
huber_irls,0.003884627315196088,0.0030496132186783563,0.004524039464106744,4.711779351010557,4.711779351010557,71.16112237706321,27,27,0.040922291002061684,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,71.16112237706321,nonlinear_noise_sweep_0p0_seed808,nonlinear_noise_sweep,scenario.noise_std,0.0,808
pseudoinverse,0.008919070594801633,0.00795965676483145,0.009725575200930783,4.3434376745881345,4.3434376745881345,62.13228385062354,27,27,0.05970787499973085,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,62.13228385062354,nonlinear_noise_sweep_0p0_seed909,nonlinear_noise_sweep,scenario.noise_std,0.0,909
ridge,0.008919070594802224,0.007959656764830661,0.009725575200932427,4.343437674588132,4.343437674588132,62.13228385062077,27,27,0.059178707997489255,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,62.13228385062077,nonlinear_noise_sweep_0p0_seed909,nonlinear_noise_sweep,scenario.noise_std,0.0,909
truncated_svd,0.008919070594801633,0.00795965676483145,0.009725575200930783,4.3434376745881345,4.3434376745881345,62.13228385062354,27,27,0.05867087500519119,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,62.13228385062354,nonlinear_noise_sweep_0p0_seed909,nonlinear_noise_sweep,scenario.noise_std,0.0,909
qsvt_regularized,0.008919070594802224,0.007959656764830661,0.009725575200932427,4.343437674588132,4.343437674588132,62.13228385062077,27,27,0.06034429099963745,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,62.13228385062077,nonlinear_noise_sweep_0p0_seed909,nonlinear_noise_sweep,scenario.noise_std,0.0,909
huber_irls,0.0036406822473573144,0.003216474287251508,0.003994452637103307,4.581591802987304,4.581591802987304,61.67104031668913,27,27,0.052973625002778135,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,61.67104031668913,nonlinear_noise_sweep_0p0_seed909,nonlinear_noise_sweep,scenario.noise_std,0.0,909
pseudoinverse,0.030776601784193978,0.038736788536119934,0.020817874617295416,3.1379553326868184,3.1379553326868184,109.90631601287221,27,27,0.06110241699934704,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,109.90631601287221,nonlinear_noise_sweep_0p0_seed1001,nonlinear_noise_sweep,scenario.noise_std,0.0,1001
ridge,0.030776601784196556,0.03873678853612293,0.02081787461729757,3.137955332686817,3.137955332686817,109.90631601289508,27,27,0.05967124999733642,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,109.90631601289508,nonlinear_noise_sweep_0p0_seed1001,nonlinear_noise_sweep,scenario.noise_std,0.0,1001
truncated_svd,0.03077660178419397,0.03873678853611993,0.020817874617295416,3.1379553326868184,3.1379553326868184,109.906316012872,27,27,0.06017887500638608,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,109.906316012872,nonlinear_noise_sweep_0p0_seed1001,nonlinear_noise_sweep,scenario.noise_std,0.0,1001
qsvt_regularized,0.030776601784196556,0.03873678853612293,0.02081787461729757,3.137955332686817,3.137955332686817,109.90631601289508,27,27,0.05961379099608166,6,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,109.90631601289508,nonlinear_noise_sweep_0p0_seed1001,nonlinear_noise_sweep,scenario.noise_std,0.0,1001
