case,matrix_kind,matrix_shape,nnz,observable_id,observable_type,alpha,method,runtime_seconds,runtime_q1_seconds,runtime_q3_seconds,runtime_iqr_seconds,runtime_min_seconds,runtime_max_seconds,preprocessing_median_seconds,query_median_seconds,timing_repeats,solver_type,timing_scope,residual_norm,selected_functional_value,abs_difference_from_dense_reference,factorization_reused,num_observables_queried
ieee30,dense,172x59,796,area_aggregate_first_half,area_aggregate_functional,0.01,dense_direct,4.704200546257198e-05,4.684425221057609e-05,4.761449963552877e-05,7.702474249526858e-07,4.6666013076901436e-05,4.937499761581421e-05,2.108299668179825e-05,2.6021007215604186e-05,30,NumPy dense solve (LAPACK),Gram/RHS formation + dense factorization/solve,0.3502267709493184,-0.034602099523582376,6.036837696399289e-15,False,3
ieee30,sparse,172x59,796,state_correction_0,single_state_correction,0.01,sparse_factorized,0.00024272900191135705,0.0002376772536081262,0.0002509065016056411,1.3229247997514904e-05,0.00023566601157654077,0.00035474999458529055,0.00023556249652756378,7.187503797467798e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.35022677094931887,0.004957199037131331,5.0306980803327406e-17,True,3
ieee30,sparse,172x59,796,state_difference_0_1,branch_angle_difference_like,0.01,sparse_factorized,0.00024272900191135705,0.0002376772536081262,0.0002509065016056411,1.3229247997514904e-05,0.00023566601157654077,0.00035474999458529055,0.00023556249652756378,7.187503797467798e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.35022677094931887,0.003114714786363523,1.1102230246251565e-16,True,3
ieee30,sparse,172x59,796,area_aggregate_first_half,area_aggregate_functional,0.01,sparse_factorized,0.00024272900191135705,0.0002376772536081262,0.0002509065016056411,1.3229247997514904e-05,0.00023566601157654077,0.00035474999458529055,0.00023556249652756378,7.187503797467798e-06,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.35022677094931887,-0.034602099523558194,1.8145207558717402e-14,True,3
ieee30,sparse,172x59,796,state_correction_0,single_state_correction,0.01,adjoint_functional,0.00023883300309535116,0.00023731224791845307,0.00024257276163552888,5.26051371707581e-06,0.0002357909979764372,0.0004028749972349033,0.00023024999973131344,8.625000191386789e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,0.004957199037131307,2.688821387764051e-17,True,3
ieee30,sparse,172x59,796,state_difference_0_1,branch_angle_difference_like,0.01,adjoint_functional,0.00023764599609421566,0.00023612476434209384,0.0002413852562312968,5.260491889202967e-06,0.00023462499666493386,0.00038579200918320566,0.00023024999973131344,7.4169947765767574e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,0.0031147147863635483,8.586881206085195e-17,True,3
ieee30,sparse,172x59,796,area_aggregate_first_half,area_aggregate_functional,0.01,adjoint_functional,0.00023745799262542278,0.00023593725563841872,0.00024097926143440418,5.04200579598546e-06,0.00023429100110661238,0.00038495899934787303,0.00023024999973131344,7.208000170066953e-06,30,SciPy sparse SuperLU adjoint solve,Shared sparse Gram/RHS/factorization + one functional solve,,-0.03460209952355697,1.9366452885805074e-14,True,3
ieee57,sparse,331x113,1531,state_correction_0,single_state_correction,0.01,sparse_factorized,0.00041643699660198763,0.00041185375084751286,0.0004350417511886917,2.318800034117885e-05,0.000407750005251728,0.0006815000087954104,0.00040489600360160694,1.1729498510248959e-05,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.5310717018714243,0.005003204187622063,9.540979117872439e-18,True,3
ieee57,sparse,331x113,1531,state_difference_0_1,branch_angle_difference_like,0.01,sparse_factorized,0.00041643699660198763,0.00041185375084751286,0.0004350417511886917,2.318800034117885e-05,0.000407750005251728,0.0006815000087954104,0.00040489600360160694,1.1729498510248959e-05,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.5310717018714243,0.0031358064010314104,3.0357660829594124e-18,True,3
ieee57,sparse,331x113,1531,area_aggregate_first_half,area_aggregate_functional,0.01,sparse_factorized,0.00041643699660198763,0.00041185375084751286,0.0004350417511886917,2.318800034117885e-05,0.000407750005251728,0.0006815000087954104,0.00040489600360160694,1.1729498510248959e-05,30,SciPy sparse SuperLU full-update solve,Sparse Gram/RHS formation + factorization + full-update solve,0.5310717018714243,-0.031869019914684556,2.4771851236948805e-15,True,3
