seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,best_imag_rel,best_real_rel,full_block_rel,degenerate_zero_reference,status
770300,5x3,5,3,3,well_conditioned,1.1111111111111116,False,True,ridge_filter_d255,255,imag,1e-06,1.6092224530836747,0.985976643841658,1.3672488201505308,False,complex_unsupported
770301,5x3,5,3,3,moderate_condition,3.333333333333333,False,True,monomial_x1,1,neg_imag,1e-08,1.0982514283412614,0.5426216033255781,0.7766224646906926,False,complex_unsupported
770301,5x3,5,3,3,moderate_condition,3.333333333333333,False,True,monomial_x3,3,imag,1e-08,0.5098643062027185,0.8091635342551363,1.0187613960404718,False,complex_unsupported
770301,5x3,5,3,3,moderate_condition,3.333333333333333,False,True,ridge_filter_d7,7,imag,1e-08,0.533590026949046,0.645683029824487,0.9533841053139236,False,complex_unsupported
770301,5x3,5,3,3,moderate_condition,3.333333333333333,False,True,ridge_filter_d31,31,imag,1e-08,0.4908302317554116,0.7460953414672951,0.7236112647128938,False,complex_unsupported
770301,5x3,5,3,3,moderate_condition,3.333333333333333,False,True,ridge_filter_d255,255,imag,1e-06,0.8386204411518056,0.6422220012448978,0.9799678885469766,False,complex_unsupported
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333258,False,True,monomial_x1,1,neg_imag,1e-08,0.9321606931311051,0.6409285910396748,0.6880900911138442,False,complex_unsupported
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333258,False,True,monomial_x3,3,imag,1e-08,0.5547413237038871,0.6847647301079139,0.8581366347018743,False,complex_unsupported
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333258,False,True,ridge_filter_d7,7,imag,1e-08,1.30399240405933,1.51205317818422,1.8537118081097437,False,complex_unsupported
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333258,False,True,ridge_filter_d31,31,imag,1e-08,1.1389577244242959,1.3472751665644587,1.3473671828667506,False,complex_unsupported
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333258,False,True,ridge_filter_d255,255,imag,1e-06,1.8523744808848548,1.3162841627823336,1.4080932380468723,False,complex_unsupported
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,True,monomial_x1,1,neg_imag,1e-08,0.9554830265328575,0.5139335208089343,0.6759942867602593,False,complex_unsupported
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,True,monomial_x3,3,imag,1e-08,0.33328970065421865,0.7366300595152081,0.870895534794331,False,complex_unsupported
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d7,7,imag,1e-08,0.6472726874556199,1.7381000793225154,1.7787795146845131,False,complex_unsupported
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d31,31,imag,1e-08,0.805875899227578,1.548061136508244,1.581945399879713,False,complex_unsupported
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,True,ridge_filter_d255,255,imag,1e-06,1.0129378454097506,1.1256971238897158,1.2893336629026309,False,complex_unsupported
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000002,True,True,monomial_x1,1,neg_imag,1e-08,0.6825123181961147,0.6157787231656117,0.5418278283479341,False,complex_unsupported
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000002,True,True,monomial_x3,3,imag,1e-08,0.8853215405839844,1.149942413591739,1.448566875768748,False,complex_unsupported
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d7,7,imag,1e-08,1.670056956746916,1.532423241329956,1.6697181515849497,False,complex_unsupported
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d31,31,imag,1e-08,0.9132852320280483,0.7766487588464249,0.7694125143357138,False,complex_unsupported
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d255,255,imag,1e-06,0.3130816500159384,0.5932877753080006,0.5342819140690193,False,complex_unsupported
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845072,False,True,monomial_x1,1,neg_imag,1e-08,0.5532398211597284,0.6161692156046125,0.6253712424817859,False,complex_unsupported
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845072,False,True,monomial_x3,3,imag,1e-08,1.12715534854178,1.063668033243997,1.5458920527234068,False,complex_unsupported
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845072,False,True,ridge_filter_d7,7,imag,1e-08,1.325893680631265,0.7621364957479906,0.918319811760511,False,complex_unsupported
770305,5x3,5,3,3,clustered_singular_values,1.0281690140845072,False,True,ridge_filter_d31,31,imag,1e-08,0.4716528831698495,0.9130922433550495,0.9143155648003606,False,complex_unsupported
