seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770206,4x3,4,3,3,random_decay,2.21179121370967,True,False,monomial_x3,3,imag,1e-08,4.3785656352337644e-16,1.1690770246072097e-13,pass
770206,4x3,4,3,3,random_decay,2.21179121370967,True,False,ridge_filter_d7,7,imag,1e-08,1.801398762819723e-15,1.1780874019129257e-06,pass
770206,4x3,4,3,3,random_decay,2.21179121370967,True,False,ridge_filter_d31,31,imag,1e-08,6.5941568676270895e-15,9.355990524807138e-08,pass
770206,4x3,4,3,3,random_decay,2.21179121370967,True,False,ridge_filter_d255,255,imag,1e-06,5.81606350620382e-14,3.155175413217979e-08,pass
770300,5x3,5,3,3,well_conditioned,1.1111111111111105,False,False,monomial_x1,1,neg_imag,1e-08,2.0223047926892774e-16,5.743345611236758e-14,pass
770300,5x3,5,3,3,well_conditioned,1.1111111111111105,False,False,monomial_x3,3,imag,1e-08,5.899554316265679e-16,6.047043174171473e-14,pass
770300,5x3,5,3,3,well_conditioned,1.1111111111111105,False,False,ridge_filter_d7,7,imag,1e-08,7.390880311755484e-15,2.983544922041926e-08,pass
770300,5x3,5,3,3,well_conditioned,1.1111111111111105,False,False,ridge_filter_d31,31,imag,1e-08,1.0680607777391184e-14,9.58096166728113e-10,pass
770300,5x3,5,3,3,well_conditioned,1.1111111111111105,False,False,ridge_filter_d255,255,imag,1e-06,7.301623160780757e-15,1.3531548426124637e-10,pass
770301,5x3,5,3,3,moderate_condition,3.3333333333333335,False,False,monomial_x1,1,neg_imag,1e-08,3.3852738453376583e-16,6.716383309148989e-14,pass
770301,5x3,5,3,3,moderate_condition,3.3333333333333335,False,False,monomial_x3,3,imag,1e-08,4.2808917076012026e-16,8.45476112251118e-14,pass
770301,5x3,5,3,3,moderate_condition,3.3333333333333335,False,False,ridge_filter_d7,7,imag,1e-08,1.4309901113299205e-15,9.773720643719998e-07,pass
770301,5x3,5,3,3,moderate_condition,3.3333333333333335,False,False,ridge_filter_d31,31,imag,1e-08,7.363170936955923e-15,1.1828560355282285e-07,pass
